Year,Male,Female,Total
4,1651128,1647369,3298497
9,1651669,1650510,3302179
14,1672328,1666019,3338347
19,1674708,1679397,3354105
24,1623805,1720578,3344383
29,1433673,1437618,2871291
34,1398136,1390952,2789088
39,1323947,1315472,2639419
44,1192822,1191517,2384339
49,1119542,1153491,2273033
54,1017133,1051910,2069043
59,890290,923145,1813435
64,766979,817330,1584309
69,614330,670623,1284953
74,442212,489651,931863
79,270884,310246,581130
84,125572,157065,282637
89,39277,52896,92173
94,8490,12469,20959
99,1310,1905,3215
120,40,136,176
Other,4376,6061,10437